nĭ  jiào  shén me  míng zi ？,what’s your name?,(you call what name ?),,,,
wŏ  jiào …， nĭ  ne ？,I am … and you?,,,,,
nĭ shì nă lĭ rén ？	,you be where people?,,,,,
nǐ shì nǎ guó rén ？,you be which country people?,,,,,
wŏ shì mĕi guó rén,I be America people,,,,,
nĭ  zuò  shén me  gōng zuò ？,you do what job?,,,,,
nĭ de  gōng zuò  shì  shén me ？,your job be what?,,,,,
wŏ  shì  yī gè  xué sheng,I be a student,,,,,
nǐ jīn nián  duō shao  suì ?,you this year  how many  years old? ,,,,,
wǒ jīn nián  èr shí liù suì,I this year  twenty-six  years old.,,,,,
líng,zero,,,,,
băi,100,,,,,
qiān,1000,,,,,
wàn,1 0000,,,,,
yì,1 0000 0000,,,,,
shí wŭ,15,,,,,
èr shí liù,26,,,,,
sì qiān líng bā,4008,,,,,
sān băi qī shí,370,,,,,
yī bǎi sān shí wàn,130 0000,,,,,
sān fēn zhī èr ,two thirds,,,,,
băi fēn zhī liù,6%,,,,,
băi fēn zhī jiŭ shí yī diăn sì wŭ,91.45%,,,,,
wŏ  huì  shuō  yī diănr  hàn yŭ,I speak a little Chinese,(Zhōng wén == hàn yŭ),,,,
Měiguó,United States,,,,,
yīngguó,United Kingdom,,,,,
hánguó,Korea,,,,,
fàguó,France,,,,,
àodàlìyǎ,Australia,,,,,
xīnjiāpō,Singapore,,,,,
yìdàlì,Italy,,,,,
gēsīdálíjiā,Costa Rica,,,,,
,,,,,,
,,,,,,
xuéshēng,student,,,,,
lǎoshī,teacher,,,,,
lǜshī,lawyer,,,,,
chéngxù yuán,programmer,,,,,
jīnróng fēnxī shī,Financial Analyst,,,,,
,,,,,,
yīngyǔ,English,written,,,,
yīngwén,English,spoken,,,,
hànyǔ,Chinese,written,,,,
zhōngwén,Chinese,spoken,,,,
,,,,,,
tīng,listen,,,,,
shuō,Say,,,,,
dú,read,,,,,
xiě,write,,,,,
,,,,,,
shénme,what,,,,,
shénme shíhòu,When,,,,,
nǎlǐ/nǎ'er,Where / Where,,,,,
shéi,Who,,,,,
zěnme,how,,,,,
duōshǎo,How many,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
