xiàn zài  jĭ diăn ？,now what time ? ,现在 几点？,,,,
gāng cái,just now,刚才,,,,
xiàn zài ,now,现在,,,,
yī huìr ,soon / a while,一会儿,,,,
xiàn zài  shí yī diăn  èr shí qī fēn,Now eleven twenty-seven,现在 十一点 二十七分。,,,,
nĭ shén me shí hou  xià bān ？,You what time leave office? ,你 什么 时候 下班？,,,,
shàng bān,go to office,上班,,,,
xià bān,leave office,下班,,,,
wŏ liù diăn  sì shí wŭ  xià bān,I six forty-five leave office.,我 六点 四十五 下班。,,,,
diàn yĭng  shén me  shí hou  kāi shĭ ？,Movie what time begin?,电影 什么 时候 开始？,,,,
kāi shĭ ,begin,开始,,,,
jié shù ,end,结束,,,,
èr shí  fēn zhōng  yĭ hòu  kāi shĭ ,Twenty minutes later begin,二十分钟 以后 开始。  ,,,,
yĭ qián,before,以前,,,,
yĭ hòu,after,以后,,,,
nĭ mĕi tiān  shuì jiào  duō cháng shí jiān ？,You everyday sleep how long time?,你 每天 睡觉 多长时间？,,,,
duō cháng shí jiān / duō jiŭ,how long / how long,多长时间 / 多久,,,,
wŏ mĕi tiān shuì jiào qī gè bàn xiăo shí,I everyday sleep seven and half hours.,我 每天 睡觉 七个半 小时。,,,,
xiăoshí,hour,小时,,,,
jīn tiān  jĭ hào ,Today what date?,今天 几号？,,,,
jīn tiān  sān yuè shí wŭ hào 	,Today the 15th of March	,今天 三月十五号,,,,
sān yuè / sān gè yuè,March / 3 months,三月 / 三个月,,,,
hào = rì,number = day (number is easier to say),号 = 日,,,,
míng tiān  xīng qī jĭ ？ 	,what day is tomorrow?,明天 星期几？,,,,
zuó tiān,yesterday,昨天,,,,
jīn tiān,today,今天,,,,
míng tiān,tomorrow,明天,,,,
míng tiān  xīng qī liù,Tomorrow Saturday,明天 星期六,,,,
xīng qī yī,Monday,星期一,,,,
xīng qī liù,Saturday,星期六,,,,
xīng qī rì / xīng qī tiān,Sunday / Sunday,星期日/星期天,,,,
Qián tiān,The day before yesterday,前天,,,,
zuó tiān,yesterday,昨天,,,,
jīn tiān,Nowadays,今天,,,,
míng tiān,tomorrow,明天,,,,
hòu tiān,the day after tomorrow,后天,,,,
,,,,,,
shàng gè yuè,last month,上个月,,,,
zhè ge yuè,This month,这个月,,,,
xià gè yuè,next month,下个月,,,,
,,,,,,
,,,,,,
qù nián,last year,去年,,,,
jīn nián,this year,今年,,,,
míng nián,next year,明年,,,,
,,,,,,
yījiǔjiǔbā nián,1998,一九九八年,,,,
èr líng líng wǔ nián,2005,二零零五年,,,,
,,,,,,
kāi shǐ,Start,开始,,,,
jié shù,End,结束,,,,
,,,,,,
xīng qí yī,Monday,星期一,,,,
zhōu yī,on Monday,周一,,,,
lǐ bài yī,Monday,礼拜一,,,,
,,,,,,
shàng ge xīng qī,last week,上个星期,,,,
zhè ge xīng qī,This week,这个星期,,,,
xià gè xīng qī,next week,下个星期,,,,
xīng qī,week,星期,,,,
,,,,,,
shàng zhōu,Last week,上周,,,,
zhè zhōu,this week,这周,,,,
xià zhōu,next week,下周,,,,
zhōu mò,weekend,周末,,,,
,,,,,,
shàng bān,Go to work,上班,,,,
xià bān,Commute,下班,,,,
shàng kè,Attend class,上课,,,,
xià kè,Finish class,下课,,,,
,,,,,,
shuì jiào,go to bed,睡觉,,,,
qǐ chuáng,get up,起床,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
