nǎ lǐ,where,哪里,,,,
nà li,There,那里,,,,
zhè lǐ,Here,这里,,,,
,,,,,,
shàng,on,上,,,,
xià,under,下,,,,
zuǒ,left,左,,,,
yòu,right,右,,,,
qián,before,前,,,,
hòu,Rear,后,,,,
,,,,,,
lǐ,in,里,,,,
wài,outer,外,,,,
,,,,,,
miàn,surface,面,,,,
biān,side,边,,,,
,,,,,,
shàng mian,On,上面,,,,
shàng bian,On top of,上边,,,,
lǐ miàn,inside,里面,,,,
lǐ bian,inside,里边,,,,
,,,,,,
zhōng jiān,in between,中间,,,,
,,,,,,
,,,,,,
dōng,east,东,,,,
xī,west,西,,,,
nán,south,南,,,,
běi,north,北,,,,
,,,,,,
dōng nán,southeast,东南,,,,
xī běi,northwest,西北,,,,
,,,,,,
dōng bù,east,东部,,,,
běi bù,Northern part,北部,,,,
dōng běi bù,northeast,东北部,,,,
,,,,,,
wǎng / xiàng,towards,往/向,,,,
,,,,,,
zhuǎn,turn,转,,,,
guǎi,turn or abduction,拐,,,,
,,,,,,
xiǎo xué,primary school,小学,,,,
zhōng xué,High school,中学,,,,
dà xué,the University,大学,,,,
,,,,,,
jī chǎng,airport,机场,,,,
yī yuàn,hospital,医院,,,,
chē zhàn,station,车站,,,,
huǒ chē zhàn,train station,火车站,,,,
dì tiě zhàn,subway station,地铁站,,,,
gōng jiāo chē zhàn,bus stop,公交车站,,,,
,,,,,,
shěng,province,省,,,,
shì,city,市,,,,
qū / xiàn,Area / County,区/县,,,,
lù / jiē,Road / Street,路/街,,,,
hào,number,号,,,,
,,,,,,
zhōu,State,州,,,,
jiā zhōu SV shì,"SV City, California",加州SV市,,,,
Vicente lù 1263 hào,Vicente Road 1263,Vicente路1263号,,,,
,,,,,,
yīng lǐ,mile,英里,,,,
gōng lǐ,Kilometer,公里,,,,
,,,,,,
cóng jī chǎng dào gōng sī,From the airport to the company,从机场到公司,,,,
kāi chē yào duō shao fēn zhōng ?,How many minutes to drive?,开车要多少分钟?,,,,
,,,,,,
gōng sī zài nǐ jiā nǎ biān,The company in which side your home,公司在你家哪边,,,,
gōng sī zài wǒ jiā běi biān,The company in my home north,公司在我家北边,,,,
