jīn tiān  bĕi jīng  tiān qì  zĕn me yàng ？,Today Beijing weather how is it like?,,,,,
jīn tiān  bĕi jīng  tiān qì  hĕn hăo,Today Beijing weather good,,,,,
zuó tiān nĭ nà li  tiān qì  qíng ma ？,Yesterday you there weather clear?,,,,,
zuó tiān wŏ zhè lĭ bù qíng ， yŏu diănr yīn,"yesterday I here not clear, a little cloudy",,,,,
nĭ nà li lĕng ma ？,you there cold?,,,,,
wŏ zhè lĭ bù lĕng ， hĕn rè 。,"I here not cold, hot.",,,,,
jīn tiān duō shao dù ?,Today how many degrees?,,,,,
jīn tiān  dà gài  sān shí dù 。,Today about 30 degrees,,,,,
míng tiān huì xià yŭ ma ？,tomorrow will fall rain?,,,,,
míng tiān bù huì xià yŭ ， kě néng huì xià xuĕ 。,"Tomorrow will not fall rain, maybe will fall snow.",,,,,
nĭ zĕn me lái zhè li？,How you come here?,,,,,
wŏ kāi chē qù 。,I drive here.,,,,,
nĭ měi tiān  kāi chē  huí jiā  ma ？,You every day drive home?,,,,,
bù kāi chē ， wŏ zuò dì tiĕ ， xià bān de shí hou  yŏu diănr  dŭ chē 。,"Do not drive, I take the subway, now a little traffic jam.",,,,,
,,,,,,
nǐ hǎo,Hello there,,,,,
,,,,,,
,,,,,,
rè,heat,,,,,
wēn ( nuǎn huo ),Temperature (warm),,,,,
liáng,cool,,,,,
lěng,cold,,,,,
,,,,,,
qíng tiān,sunny day,,,,,
yīn tiān,cloudy day,,,,,
,,,,,,
kě néng,may,maybe,,,,
dà gài,probably,about,,,,
,,,,,,
xià xuě,Snow,,,,,
xià yǔ,rain,,,,,
yǒu fēng,windy,,,,,
,,,,,,
kāi chē,Drive a car,,,,,
zuò chē,Car,,,,,
zuò huǒ chē,Train,,,,,
zuò fēi jī,By plane,,,,,
zuò gōng gòng qì chē,take a bus,,,,,
dǎ chē,A taxi,,,,,
,,,,,,
měi tiān,every day,,,,,
,,,,,,
,,,,,,
yǔ tiān,rain,,,,,
xuě tiān,Snow,,,,,
,,,,,,
míng tiān wǒ kě néng huì gōng zuò,Tomorrow I might work,,,,,
,,,,,,
,,,,,,
huí jiā,Return home,,,,,
,,,,,,
nǐ zěn me qù shàng bān,How you get to work,,,,,
wǒ kāi chē qù shàng bān,I drive to work,,,,,
,,,,,,
shàng bān de shí hou dà gài huì dǔ chē,Will probably work when traffic jam,,,,,
,,,,,,
xià bān de shí hou yī dìng huì dǔ chē,When the work will be traffic jams,,,,,
,,,,,,
yī dìng,for sure,,,,,
,,,,,,
jīn tiān tiān qì hěn hǎo ， hěn qíng,Today the weather is nice and sunny,,,,,
bù shi yǔ tiān,Not a rainy day,,,,,
bù xià yǔ,not raining,,,,,
,,,,,,
bù lěng yě bù rè,Neither cold nor hot,,,,,
,,,,,,
zuì jìn xià yǔ le ma ？,Recent rain yet?,,,,,
zuì jìn méi xià yǔ ‘’,Recently it did not rain '',,,,,
,,,,,,
wǒ shí diǎn shuì jiào ‘’,I go to bed at ten '',,,,,
wǒ shuì jiào bā gè xiǎo shí,I sleep eight hours,,,,,
,,,,,,
nǐ shàng bān kāi chē duō cháng shí jiān,How long will you go to work by car,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
