èr shí èr,22,二十二,,,,
èr băi / liăng băi,200,二百 / 两百,,,,
liăng qiān,2000,两千,,,,
liăng wàn,2 0000,两万,,,,
liăng yì,2 0000 0000,两亿,,,,
dì yī ,first,第一,,,,
dì èr,second,第二,,,,
dì sān shí sì,34th ,第三十四,,,,
dì yī gè ,the first one,第一个,,,,
dì èr gè,the second one,第二个,,,,
dì sān shí sì gè,the 34th one,第三十四个,,,,
nĭ yào shén me ？,you want what?,你 要 什么？,,,,
wŏ yào zhè ge hé nà ge ,I want this one and that one.,我要  这个 和 那个。,,,,
zhè gè  duō shao  qián ？,This one how much money?,这个 多少 钱？,,,,
zhè gè  sān shí kuài qián ,This one is thirty yuan money,这个 三十 块 钱。,,,,
yī gòng  duō shao  qián ？,In total how much are they?,一共 多少 钱？,,,,
yī gòng  yī bǎi  kuài qián,In total a hundred yuan money,一共 一百 块 钱。,,,,
dì yī gè hĕn guì,The first one very expensive,第一个 很 贵	,,,,
dì èr gè hĕn pián yi,The first one very cheap,第二个 很 便宜 ,,,,
èr shí kuài qián zĕn me yàng ？,20 yuan money how about that?,二十 块 钱 怎么样？,(haggling),,,
kĕ yĭ yòng (xìn yòng kă / xiàn jīn) ma ？,Can use credit card / cash?,可以 用 (信用卡/现金) 吗？,,,,
Kě yǐ / bù kě yǐ,can / cannot,可以/不可以,,,,
wŏ fù ba ,I pay,我付吧,,,,
wŏ men  fēn kāi  fù ba ,We separately pay,我们分开付吧,,,,
Zhège,This one,这个,,,,
nàgè,That one,那个,,,,
zhèlǐ,Here,这里,,,,
nàlǐ,There,那里,,,,
zhè'er,here,这儿,,,,
nà'er,there,那儿,,,,
zhème,so,这么,he is SO tall,,,
nàme,that,那么,it is THAT good,,,
zhè shí,at this time,这是,,,,
nà shí,At that time,那是,,,,
,,,,,,
yīkuài qián,one yuan,一块钱,,,,
wǔmáo qián,half yuan,五毛钱,,,,
yīyuán qián,one yuan,一元钱,formal,,,
wǔjiǎo qián,half yuan,五角钱,formal,,,
,,,,,,
èr líng líng yī nián,2001,二零零一年,,,,
yījiǔbāwǔ nián,1985,一九八五年,,,,
,,,,,,
fángjiān hào: Sān líng liù,Room Number：306,房间号：三零六,,,,
,,,,,,
liàngcí,measure word,量词,,,,
,,,,,,
gè,,个,MW for objects,,,
cì,,次,MW for actions,,,
,,,,,,
kāfēi,coffee,咖啡,,,,
píjiǔ,beer,啤酒,,,,
chá,tea,茶,,,,
cài,dish,菜,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
