zhŭn bèi hăo le ma ？,prepare done?,,,,,
(zhŭn bèi) hăo le	,(prepare) done,,,,,
hái méi yŏu (zhŭn bèi hăo),still not (prepare done),,,,,
dĕng wŏ yī xià hăo ma ？,wait me a while OK?,,,,,
hăo (de),OK,,,,,
nĭ kàn dé dào wŏ ma ？,you can see me?,,,,,
kàn dé dào 	,can see you,,,,,
kàn bù dào,cannot see you,,,,,
qǐng kàn dì wǔ shí liù háng,please look fifty-sixth line.,,,,,
qĭng  dă kāi  biăo gé,please open spreadsheet,,,,,
chī,to eat,,,,,
yào,to want (stronger),,,,,
hē,to drink,,,,,
ná,to take,,,,,
gěi,to give   for    to,,,,,
dǎ kāi / kāi,to open,,,,,
yǒu,to have,,,,,
zhī dao,to know,,,,,
xǐ huan,to like,,,,,
ài,to love,,,,,
shì,to be,,,,,
zuò,to sit    to do/make,,,,,
kàn,to see,,,,,
qù,to go,,,,,
yòng,to use,,,,,
zhǎo,to find,,,,,
gào su,to tell,,,,,
wèn,to ask,,,,,
xiǎng,to think    to want (weaker),,,,,
jué,to think      to feel,,,,,
wǒ yào yī gè píng guǒ,I want an apple,,,,,
wǒ zài chī miàn,I am eating noodles,,,,,
wǒ hē chá,I drink tea,,,,,
qǐng ná shàng zhè běn shū,Please take the book,,,,,
qǐng gěi wǒ…,Please give me…,,,,,
kāi mén,Open the door,,,,,
wǒ yǒu yī gè dì di,I have a younger brother,,,,,
wǒ zhī dao,I know,,,,,
wǒ xǐ huan tā,I like her,,,,,
wǒ ài nĭ,I love you,,,,,
wǒ shì yī gè lǎo shī,I am a teacher,,,,,
měi tiān wǒ dōu zuò wǎn fàn,I make dinner every day,,,,,
dāng wǒ qù tú shū guǎn wǒ xí guàn zuò nà li,I usually sit there when I go to the library,,,,,
wǒ xǐ huan kàn diàn yǐng,I like to watch movies,,,,,
wǒ jīng cháng qù běi jīng,I go to Beijing often,,,,,
wǒ yòng shǒu jī de pín lǜ tài gāo le,I use my mobile phone too much,,,,,
wǒ kě yǐ zhǎo dào nà běn shū,I can find the book,,,,,
gào su wǒ tā de diàn huà hào mǎ,Tell me his phone number,,,,,
qǐng wèn nǐ de péng you,Please ask your friend,,,,,
wǒ jué de hěn qí guài,I think it’s strange,,,,,
,,,,,,
kàn dé dào ,can see you,,,,,
kàn bù dào,cannot see you,,,,,
kàn de qīng chu ma ？,see clearly?,,,,,
kàn de qīng chu,can see clearly,,,,,
kàn bù qīng chu,cannot see clearly,,,,,
kàn / tīng,look/listen,,,,,
kàn dào / tīng dào,see/hear,,,,,
gāng cái xìn hào bù hăo ,Just now signal not good,,,,,
xiàn zài hăo le,now its good,,,,,
wŏ chóng xīn dă gĕi nĭ ,I will call you back,,,,,
chóng xīn,again,,,,,
dă gĕi,to call,,,,,
néng zài shuō yī cì ma ？,can again say one time?,,,,,
hăo de    wŏ zài shuō yī cì,OK    I again say one time.,,,,,
kĕ yĭ gĕi wŏ dă zì ma ？,Can you type for me?,,,,,
dǎ zì,to type,,,,,
hăo     wŏ gĕi nĭ dă zì,OK     I for you type,,,,,
…… de yì si shì shén me ？,…’s meaning is what?,,,,,
…… de yì si shì ……,…’s meaning is …,,,,,
…… hé …… de yì si yī yàng ma ？,… and … ’s meaning same ?,,,,,
tā men de yì si   (yī yàng / bù yī yàng),their meaning same / not same,,,,,
nĭ míng bai le ma ？,you understand?,,,,,
míng bái,to understand,,,,,
wŏ míng bai le,I understand,,,,,
wŏ bù míng bai,I don’t understand,,,,,
dĕng yī xià    wŏ yŏu yī gè wèn tí ,wait a little   I have a question,,,,,
nĭ wèn ba,Go ahead and ask,,,,,
,,,,,,
jīng cháng,often,,,,,
měi tiān,every day,,,,,
qí guài,strange,,,,,
néng,can,,,,,
diàn huà hào mǎ,phone number,,,,,
jué dé,feel    think,,,,,
zài,again,,,,,
,,,,,,
zěn me shuō ……,how to say…?,,,,,
nǐ kě yǐ shuō ……,you can say…,,,,,
xià cì  zài jiàn,next time again see,,,,,
Yīgè rén,A person,,,,,
yīgè cài,A dish,,,,,
,,,,,,
kàn yīxià,take a look,,,,,
děng yīxià,Wait,,,,,
,,,,,,
shuō yīcì,say one time,,,,,
kàn yīcì,look one time,,,,,
,,,,,,
shàng yīcì,Last time,,,,,
xià yīcì,next time,,,,,
shàng cì,Last time,,,,,
xià cì,Next time,,,,,
,,,,,,
dì yī háng,the first line,,,,,
dì yī yè,First page,,,,,
dì yī jù,first sentence,,,,,
,,,,,,
shàng yī xíng,previous row,,,,,
xià yī xíng,The next line,,,,,
shàng yī yè,Previous,,,,,
xià yī yè,Next Page,,,,,
,,,,,,
,,,,,,
qǐng jìn,Come,,,,,
qǐng zuò,Sit down,,,,,
,,,,,,
qǐng wèn,Excuse me,,,,,
